iter	RMSE
0	1.10755472
1	1.096548846
2	1.085939477
3	1.075178161
4	1.064336287
5	1.054316199
6	1.04398527
7	1.033648426
8	1.023509667
9	1.013745923
10	1.003627193
11	0.9937523691
12	0.9842013912
13	0.9742964429
14	0.9644375497
15	0.9549516653
16	0.9451174708
17	0.9356366351
18	0.9267119632
19	0.917557894
20	0.9082684083
21	0.8995127355
22	0.8906244659
23	0.8818889722
24	0.8728467726
25	0.8641864085
26	0.8558541715
27	0.8474134464
28	0.8391146384
29	0.8306181009
30	0.8226672377
31	0.8145446211
32	0.8066713136
33	0.7986423206
34	0.7907408158
35	0.7828896513
36	0.7754608159
37	0.767727103
38	0.760211649
39	0.7527670649
40	0.7453924963
41	0.7380243023
42	0.730970648
43	0.7240495975
44	0.7169155098
45	0.709899044
46	0.7030000974
47	0.6962063545
48	0.6894988252
49	0.682949312
50	0.6766692213
51	0.6701620334
52	0.6637385878
53	0.6572564995
54	0.6509360478
55	0.6447170072
56	0.6386076732
57	0.6326727066
58	0.626614337
59	0.6208132218
60	0.6148941777
61	0.6088917696
62	0.6029128776
63	0.5971343654
64	0.5915558364
65	0.5856807012
66	0.5800312998
67	0.5745119649
68	0.569052406
69	0.5637508907
70	0.558505032
71	0.55305711
72	0.5477139154
73	0.5424842417
74	0.5373705611
75	0.5320567057
76	0.5269799014
77	0.5221577955
78	0.517458854
79	0.5125455805
80	0.507639334
81	0.502638391
82	0.4979798887
83	0.4933059841
84	0.4886355868
85	0.483866077
86	0.4793178246
87	0.4749202292
88	0.4704869965
89	0.4660687713
90	0.4616714779
91	0.4575349573
92	0.4533676139
93	0.4492729594
94	0.4449619518
95	0.4409513574
96	0.4368143831
97	0.4327940144
98	0.4289586803
99	0.425164755
100	0.4214527514
101	0.4175893834
102	0.4137446348
103	0.4098772337
104	0.4061253471
105	0.402392811
106	0.3986554627
107	0.3951287204
108	0.3914605832
109	0.3880766948
110	0.3844617301
111	0.3809187236
112	0.3773644003
113	0.3739654826
114	0.3706296063
115	0.367369975
116	0.3642201837
117	0.3611406485
118	0.3577882201
119	0.354858542
120	0.3517170913
121	0.3488617815
122	0.3457825208
